Date,Log_Total_Trips,Log_Population,Time_Index,Population_YoY_Growth,COVID_Flag,Post_COVID_Recovery,Month
2017-07-01,17.83038442249504,16.56984823857604,12,1.5836059578489659,0,0,7
2017-08-01,17.93815053569412,16.56984823857604,13,1.5836059578489659,0,0,8
2017-09-01,17.861853857252516,16.56984823857604,14,1.5836059578489659,0,0,9
2017-10-01,17.89813171887239,16.56984823857604,15,1.5836059578489659,0,0,10
2017-11-01,17.917932262072465,16.56984823857604,16,1.5836059578489659,0,0,11
2017-12-01,17.785808546969637,16.56984823857604,17,1.5836059578489659,0,0,12
2018-01-01,17.744066321075366,16.582392527622726,18,1.2623298668061222,0,0,1
2018-02-01,17.838552350795343,16.582392527622726,19,1.2623298668061222,0,0,2
2018-03-01,17.978396852147412,16.582392527622726,20,1.2623298668061222,0,0,3
2018-04-01,17.856611047073716,16.582392527622726,21,1.2623298668061222,0,0,4
2018-05-01,18.001124312855687,16.582392527622726,22,1.2623298668061222,0,0,5
2018-06-01,17.880282066343277,16.582392527622726,23,1.2623298668061222,0,0,6
2018-07-01,17.8877998305505,16.582392527622726,24,1.2623298668061222,0,0,7
2018-08-01,17.984508980220955,16.582392527622726,25,1.2623298668061222,0,0,8
2018-09-01,17.90055024714715,16.582392527622726,26,1.2623298668061222,0,0,9
2018-10-01,17.94051019832051,16.582392527622726,27,1.2623298668061222,0,0,10
2018-11-01,17.96738819161118,16.582392527622726,28,1.2623298668061222,0,0,11
2018-12-01,17.819616687302936,16.582392527622726,29,1.2623298668061222,0,0,12
2019-01-01,17.808393125042194,16.593925773179468,30,1.1600009856086002,0,0,1
2019-02-01,17.91131477104422,16.593925773179468,31,1.1600009856086002,0,0,2
2019-03-01,18.02887164663196,16.593925773179468,32,1.1600009856086002,0,0,3
2019-04-01,17.903013586844104,16.593925773179468,33,1.1600009856086002,0,0,4
2019-05-01,18.041606600539787,16.593925773179468,34,1.1600009856086002,0,0,5
2019-06-01,17.912574918180336,16.593925773179468,35,1.1600009856086002,0,0,6
2019-07-01,17.969307070378406,16.593925773179468,36,1.1600009856086002,0,0,7
2019-08-01,18.006068981467614,16.593925773179468,37,1.1600009856086002,0,0,8
2019-09-01,17.960993762615928,16.593925773179468,38,1.1600009856086002,0,0,9
2019-10-01,18.00832106280591,16.593925773179468,39,1.1600009856086002,0,0,10
2019-11-01,17.997278553935622,16.593925773179468,40,1.1600009856086002,0,0,11
2019-12-01,17.88520507210679,16.593925773179468,41,1.1600009856086002,0,0,12
2020-01-01,17.86028262507588,16.60183081960596,42,0.7936373799701357,0,0,1
2020-02-01,17.91466793664947,16.60183081960596,43,0.7936373799701357,0,0,2
2020-03-01,17.623245694465563,16.60183081960596,44,0.7936373799701357,1,0,3
2020-04-01,16.315852550892945,16.60183081960596,45,0.7936373799701357,1,0,4
2020-05-01,16.758384998088058,16.60183081960596,46,0.7936373799701357,1,0,5
2020-06-01,17.15106480863196,16.60183081960596,47,0.7936373799701357,1,0,6
2020-07-01,17.248890255373713,16.60183081960596,48,0.7936373799701357,1,0,7
2020-08-01,17.209241300189948,16.60183081960596,49,0.7936373799701357,1,0,8
2020-09-01,17.27347644598085,16.60183081960596,50,0.7936373799701357,1,0,9
2020-10-01,17.325639292250607,16.60183081960596,51,0.7936373799701357,1,0,10
2020-11-01,17.37684605891007,16.60183081960596,52,0.7936373799701357,1,0,11
2020-12-01,17.300337100588617,16.60183081960596,53,0.7936373799701357,1,0,12
2021-01-01,17.144905625348294,16.600159018355853,54,-0.16704045688301639,1,0,1
2021-02-01,17.4046761352175,16.600159018355853,55,-0.16704045688301639,1,0,2
2021-03-01,17.551530912197162,16.600159018355853,56,-0.16704045688301639,1,0,3
2021-04-01,17.518099333422306,16.600159018355853,57,-0.16704045688301639,1,0,4
2021-05-01,17.55215188583346,16.600159018355853,58,-0.16704045688301639,1,0,5
2021-06-01,17.354552363578232,16.600159018355853,59,-0.16704045688301639,1,0,6
2021-07-01,16.222095240976806,16.600159018355853,60,-0.16704045688301639,1,0,7
2021-08-01,16.02233204837342,16.600159018355853,61,-0.16704045688301639,1,0,8
2021-09-01,16.108017738967025,16.600159018355853,62,-0.16704045688301639,1,0,9
2021-10-01,16.781616627505272,16.600159018355853,63,-0.16704045688301639,1,0,10
2021-11-01,17.199046660007955,16.600159018355853,64,-0.16704045688301639,1,0,11
2021-12-01,17.14839758517173,16.600159018355853,65,-0.16704045688301639,1,0,12
2022-01-01,16.841409895333168,16.610606335471306,66,1.0502080878224795,0,1,1
2022-02-01,17.13043218291094,16.610606335471306,67,1.0502080878224795,0,1,2
2022-03-01,17.357433272864014,16.610606335471306,68,1.0502080878224795,0,1,3
2022-04-01,17.357677355610377,16.610606335471306,69,1.0502080878224795,0,1,4
2022-05-01,17.500171752718767,16.610606335471306,70,1.0502080878224795,0,1,5
2022-06-01,17.514000285118275,16.610606335471306,71,1.0502080878224795,0,1,6
2022-07-01,17.390065971569534,16.610606335471306,72,1.0502080878224795,0,1,7
2022-08-01,17.497537008799817,16.610606335471306,73,1.0502080878224795,0,1,8
2022-09-01,17.486738155715155,16.610606335471306,74,1.0502080878224795,0,1,9
2022-10-01,17.555202938607593,16.610606335471306,75,1.0502080878224795,0,1,10
2022-11-01,17.51644048756815,16.610606335471306,76,1.0502080878224795,0,1,11
2022-12-01,17.57051222382804,16.610606335471306,77,1.0502080878224795,0,1,12
2023-01-01,17.528209536320777,16.63168389517193,78,2.1301260385783616,0,1,1
2023-02-01,17.661706916977593,16.63168389517193,79,2.1301260385783616,0,1,2
2023-03-01,17.799084961723068,16.63168389517193,80,2.1301260385783616,0,1,3
2023-04-01,17.590003489544753,16.63168389517193,81,2.1301260385783616,0,1,4
2023-05-01,17.7681816035835,16.63168389517193,82,2.1301260385783616,0,1,5
2023-06-01,17.725397142870438,16.63168389517193,83,2.1301260385783616,0,1,6
2023-07-01,17.706677846992505,16.63168389517193,84,2.1301260385783616,0,1,7
2023-08-01,17.814919391932982,16.63168389517193,85,2.1301260385783616,0,1,8
2023-09-01,17.767086951972324,16.63168389517193,86,2.1301260385783616,0,1,9
2023-10-01,17.797902666105262,16.63168389517193,87,2.1301260385783616,0,1,10
2023-11-01,17.80300262170513,16.63168389517193,88,2.1301260385783616,0,1,11
2023-12-01,17.703459473977144,16.63168389517193,89,2.1301260385783616,0,1,12
2024-01-01,17.680932287198836,16.647788170242386,90,1.6234647820882353,0,1,1
2024-02-01,17.827059596531004,16.647788170242386,91,1.6234647820882353,0,1,2
2024-03-01,17.875568372263178,16.647788170242386,92,1.6234647820882353,0,1,3
2024-04-01,17.765586845748086,16.647788170242386,93,1.6234647820882353,0,1,4
2024-05-01,17.852784864578023,16.647788170242386,94,1.6234647820882353,0,1,5
2024-06-01,17.730398036469342,16.647788170242386,95,1.6234647820882353,0,1,6
2024-07-01,17.790826057247823,16.647788170242386,96,1.6234647820882353,0,1,7
2024-08-01,17.873199613821722,16.647788170242386,97,1.6234647820882353,0,1,8
2024-09-01,17.818765914689507,16.647788170242386,98,1.6234647820882353,0,1,9
2024-10-01,17.883429084327265,16.647788170242386,99,1.6234647820882353,0,1,10
2024-11-01,17.833168089965827,16.647788170242386,100,1.6234647820882353,0,1,11
2024-12-01,17.75928876731084,16.647788170242386,101,1.6234647820882353,0,1,12
2025-01-01,17.69531984962007,16.65955026139572,102,1.1831536554777644,0,1,1
2025-02-01,17.79701842799091,16.65955026139572,103,1.1831536554777644,0,1,2
2025-03-01,17.920751433325165,16.65955026139572,104,1.1831536554777644,0,1,3
2025-04-01,17.80937676127177,16.65955026139572,105,1.1831536554777644,0,1,4
2025-05-01,17.851821785302846,16.65955026139572,106,1.1831536554777644,0,1,5
2025-06-01,17.803983766665695,16.65955026139572,107,1.1831536554777644,0,1,6
2025-07-01,17.805816188999103,16.65955026139572,108,1.1831536554777644,0,1,7
2025-08-01,17.834096488366338,16.65955026139572,109,1.1831536554777644,0,1,8
2025-09-01,17.869101948992185,16.65955026139572,110,1.1831536554777644,0,1,9
2025-10-01,17.903052743895977,16.65955026139572,111,1.1831536554777644,0,1,10
2025-11-01,17.866798193432643,16.65955026139572,112,1.1831536554777644,0,1,11
2025-12-01,17.791478497079314,16.65955026139572,113,1.1831536554777644,0,1,12
